  'x (cm)',   'y(cm)',      'theta (deg)'
       0.8,      47.8,      88.1
      -0.3,      47.1,      89.5
      -0.4,      48.0,      89.5
       0.8,      47.8,      88.1
       1.3,      48.4,      87.8
      -0.3,      47.1,      89.5
      -1.2,      50.2,      90.0
      -0.4,      47.2,      89.0
      -1.0,      47.0,      90.0
       0.3,      45.7,      88.5
       0.8,      47.7,      88.3
      -0.5,      48.0,      90.2
      -0.5,      46.3,      89.6
       0.2,      46.9,      89.0
       0.7,      47.3,      87.6
      -0.8,      47.6,      90.5
      -0.0,      46.8,      89.8
       0.0,      47.6,      88.5
       1.0,      46.9,      88.8
       0.1,      48.7,      89.8
